#auto generated file!
180.0;109;170;221
186.0;111;167;222
192.0;114;169;217
198.0;113;169;218
204.0;115;164;221
210.0;118;162;220
216.0;121;164;215
222.0;122;167;211
228.0;122;170;208
234.0;125;171;204
240.0;127;174;199
246.0;129;176;195
252.0;132;178;190
258.0;134;178;188
264.0;135;179;186
270.0;133;184;183
276.0;132;186;182
282.0;133;182;185
288.0;130;179;191
294.0;131;179;190
300.0;130;184;186
306.0;131;184;185
312.0;132;183;185
318.0;134;185;181
324.0;137;188;175
330.0;136;189;175
336.0;133;188;179
342.0;135;185;180
348.0;135;187;178
354.0;131;190;179
360.0;132;190;178
366.0;130;190;180
372.0;130;190;180
378.0;131;190;179
384.0;127;192;181
390.0;129;191;180
396.0;132;193;175
402.0;135;193;172
408.0;139;192;169
414.0;139;189;172
420.0;141;184;175
426.0;142;186;172
432.0;145;186;169
438.0;145;185;170
444.0;146;181;173
450.0;147;178;175
456.0;150;177;173
462.0;151;178;171
468.0;150;179;171
474.0;149;176;175
480.0;150;174;176
486.0;147;174;179
492.0;152;167;181
498.0;150;167;183
504.0;147;169;184
510.0;148;173;179
516.0;144;176;180
522.0;145;174;181
528.0;145;176;179
534.0;144;177;179
540.0;144;175;181
546.0;142;172;186
552.0;143;171;186
558.0;140;176;184
564.0;142;178;180
570.0;145;175;180
576.0;144;174;182
582.0;144;177;179
588.0;143;174;183
594.0;141;174;185
600.0;139;176;185
606.0;139;178;183
612.0;139;183;178
618.0;141;183;176
624.0;140;182;178
630.0;144;179;177
636.0;145;178;177
642.0;148;177;175
648.0;148;177;175
654.0;148;181;171
660.0;148;182;170
666.0;145;188;167
672.0;145;189;166
678.0;143;192;165
684.0;143;193;164
690.0;142;192;166
696.0;144;190;166
702.0;142;188;170
708.0;143;187;170
714.0;144;187;169
720.0;143;188;169
726.0;143;189;168
732.0;142;189;169
738.0;142;188;170
744.0;142;185;173
750.0;144;187;169
756.0;142;192;166
762.0;140;194;166
768.0;141;192;167
774.0;140;191;169
780.0;141;193;166
786.0;141;196;163
792.0;140;195;165
798.0;142;191;167
804.0;141;193;166
810.0;141;192;167
816.0;140;197;163
822.0;143;199;158
828.0;145;195;160
834.0;144;199;157
840.0;145;199;156
846.0;146;197;157
852.0;148;197;155
858.0;150;193;157
864.0;149;193;158
870.0;150;193;157
876.0;155;193;152
882.0;157;194;149
888.0;155;195;150
894.0;154;197;149
900.0;155;192;153
906.0;154;193;153
912.0;158;192;150
918.0;160;188;152
924.0;157;194;149
930.0;156;195;149
936.0;156;195;149
942.0;155;198;147
948.0;154;198;148
954.0;151;198;151
960.0;150;199;151
966.0;151;199;150
972.0;150;199;151
978.0;149;201;150
984.0;149;200;151
990.0;147;198;155
996.0;146;196;158
1002.0;149;194;157
1008.0;150;197;153
1014.0;152;195;153
1020.0;151;195;154
1026.0;152;193;155
1032.0;150;194;156
1038.0;150;194;156
1044.0;149;195;156
1050.0;145;194;161
1056.0;146;193;161
1062.0;146;190;164
1068.0;144;189;167
1074.0;142;190;168
1080.0;142;190;168
1086.0;143;189;168
1092.0;144;187;169
1098.0;146;185;169
1104.0;147;188;165
1110.0;149;189;162
1116.0;150;188;162
1122.0;148;191;161
1128.0;148;190;162
1134.0;149;187;164
1140.0;148;188;164
1146.0;147;192;161
1152.0;148;193;159
1158.0;147;191;162
1164.0;146;192;162
1170.0;145;192;163
1176.0;143;192;165
1182.0;143;190;167
1188.0;144;193;163
1194.0;144;194;162
1200.0;144;196;160
1206.0;147;189;164
1212.0;145;191;164
1218.0;146;193;161
1224.0;142;193;165
1230.0;143;191;166
1236.0;147;192;161
1242.0;147;191;162
1248.0;150;189;161
1254.0;149;192;159
1260.0;149;194;157
1266.0;150;198;152
1272.0;150;199;151
1278.0;149;196;155
1284.0;149;198;153
1290.0;149;198;153
1296.0;151;199;150
1302.0;151;199;150
1308.0;151;201;148
1314.0;150;199;151
1320.0;150;202;148
1326.0;148;200;152
1332.0;148;198;154
1338.0;145;196;159
1344.0;150;198;152
1350.0;150;196;154
1356.0;150;197;153
1362.0;150;195;155
1368.0;148;195;157
1374.0;149;200;151
1380.0;151;201;148
1386.0;147;201;152
1392.0;151;202;147
1398.0;152;200;148
1404.0;152;196;152
1410.0;151;195;154
1416.0;149;196;155
1422.0;153;195;152
1428.0;153;193;154
1434.0;152;196;152
1440.0;150;195;155
1446.0;150;193;157
1452.0;153;193;154
1458.0;154;196;150
1464.0;154;196;150
1470.0;156;195;149
1476.0;159;194;147
1482.0;157;197;146
1488.0;160;195;145
1494.0;161;196;143
1500.0;157;198;145
1506.0;157;197;146
1512.0;153;199;148
1518.0;154;198;148
1524.0;151;200;149
1530.0;152;198;150
1536.0;148;198;154
1542.0;144;203;153
1548.0;143;200;157
1554.0;143;201;156
1560.0;142;198;160
1566.0;143;200;157
1572.0;143;201;156
1578.0;146;199;155
1584.0;146;197;157
1590.0;147;200;153
1596.0;147;199;154
1602.0;145;201;154
1608.0;148;201;151
1614.0;146;200;154
1620.0;144;201;155
1626.0;144;198;158
1632.0;146;197;157
1638.0;145;198;157
1644.0;143;196;161
1650.0;143;195;162
1656.0;145;195;160
1662.0;145;195;160
1668.0;147;193;160
1674.0;147;197;156
1680.0;150;199;151
1686.0;151;202;147
1692.0;154;201;145
1698.0;147;206;147
1704.0;144;208;148
1710.0;142;207;151
1716.0;140;210;150
1722.0;140;210;150
1728.0;144;209;147
1734.0;145;207;148
1740.0;145;205;150
1746.0;146;206;148
1752.0;145;203;152
1758.0;146;204;150
1764.0;147;205;148
1770.0;147;203;150
1776.0;144;204;152
1782.0;144;198;158
1788.0;142;201;157
1794.0;144;199;157
